sale_id;date;manager;shop;product;brand;count;price;discount;sum
53;17.08.2019;Paul;Cristal;HP Pavilion Gaming 15;HP ;5;550;0;2750
54;25.01.2019;Robert;Jam;Acer Aspire 5;Acer ;1;550;0;550
55;19.04.2019;Andrey;Star market;Acer Aspire 5;Acer ;2;550;0;1100
56;01.03.2019;Andrey;Star market;Prestigio SmartBook 141;Prestigio ;4;475;0;1900
57;22.03.2019;Anna;Jam;Lenovo IdeaPad L340;Lenovo ;5;380;0;1900
58;13.07.2019;Robert;Star market;Asus X407MA-BV;Asus ;5;850;0;4250
59;18.05.2019;Robert;Jam;Asus X407MA-BV;Asus ;1;850;34;816
60;01.12.2019;Andrey;Cristal;Lenovo IdeaPad L340;Lenovo ;5;380;19;1805
61;12.05.2019;Andrey;Cristal;MSI Modern 14;MSI ;1;600;0;600
62;04.02.2019;Linda;Jam;Lenovo IdeaPad S145;Lenovo ;4;400;0;1600
63;02.02.2019;Linda;Jam;MSI GF75 Thin;MSI ;2;600;0;1200
64;14.12.2019;Paul;Star market;Lenovo IdeaPad L340;Lenovo ;3;380;19;1083
65;20.04.2019;Linda;Jam;Asus X407MA-BV;Asus ;5;850;0;4250
66;03.08.2019;Robert;Star market;Dell Vostro 15;Dell ;4;725;0;2900
67;08.02.2019;Andrey;Cristal;Asus X543MA;Asus ;3;880;26,4;2560,8
68;21.10.2019;Paul;Jam;Dell Inspiron;Dell ;2;700;21;1358
69;12.05.2019;John;Jam;Dell Inspiron;Dell ;5;700;0;3500
70;23.03.2019;John;Star market;HP 250 G7;HP ;1;520;52;468
71;31.10.2019;Robert;Jam;HP 250 G7;HP ;2;520;0;1040
72;30.03.2019;Andrey;Jam;Lenovo Y740;Lenovo ;2;500;0;1000
73;25.02.2019;Andrey;Cristal;Prestigio SmartBook 141;Prestigio ;4;475;0;1900
74;09.03.2019;Anna;Star market;Lenovo IdeaPad S145;Lenovo ;2;400;0;800
75;21.05.2019;John;Jam;Acer Swift 3;Acer ;1;500;0;500
76;09.05.2019;Andrey;Star market;Acer Aspire 5;Acer ;5;550;0;2750
77;11.03.2019;Andrey;Star market;Acer Swift 3;Acer ;5;500;25;2375
78;20.12.2019;Anna;Star market;HP Pavilion Gaming 15;HP ;2;550;55;990
79;07.12.2019;Paul;Cristal;Acer Aspire 5;Acer ;1;550;0;550
80;20.07.2019;Paul;Star market;Acer Aspire 5;Acer ;3;550;27,5;1567,5
81;25.07.2019;Andrey;Cristal;HP 250 G7;HP ;4;520;0;2080
82;18.03.2019;Olga;Cristal;Lenovo IdeaPad L340;Lenovo ;1;380;19;361
83;03.12.2019;Andrey;Star market;Lenovo IdeaPad S145;Lenovo ;4;400;0;1600
84;29.03.2019;Andrey;Jam;Dell Vostro 15;Dell ;2;725;21,75;1406,5
85;23.02.2019;Anna;Jam;Acer Aspire 5;Acer ;3;550;0;1650
86;05.09.2019;Andrey;Cristal;Acer Aspire 5;Acer ;3;550;0;1650
87;11.05.2019;Anna;Cristal;HP Pavilion Gaming 15;HP ;4;550;0;2200
88;10.03.2019;Anna;Cristal;Dell Vostro 15;Dell ;2;725;0;1450
89;13.07.2019;Robert;Cristal;HP Pavilion Gaming 15;HP ;5;550;55;2475
90;24.07.2019;Anna;Cristal;Prestigio SmartBook 141;Prestigio ;3;475;0;1425
91;27.08.2019;John;Jam;Prestigio SmartBook 141;Prestigio ;1;475;0;475
92;23.08.2019;Paul;Cristal;Prestigio SmartBook 141;Prestigio ;1;475;0;475
93;17.03.2019;John;Jam;MSI GF75 Thin;MSI ;3;600;0;1800
94;14.09.2019;Anna;Star market;HP 250 G7;HP ;4;520;0;2080
95;06.09.2019;Anna;Cristal;Acer Swift 3;Acer ;3;500;0;1500
96;15.09.2019;Anna;Star market;Acer Swift 3;Acer ;4;500;0;2000
97;11.01.2019;Olga;Star market;Lenovo IdeaPad S145;Lenovo ;2;400;20;760
98;18.06.2019;Andrey;Cristal;MSI Modern 14;MSI ;3;600;30;1710
99;11.03.2019;Anna;Star market;Lenovo IdeaPad S145;Lenovo ;3;400;0;1200
100;16.07.2019;John;Cristal;Acer Aspire 5;Acer ;4;550;0;2200
101;22.11.2019;Paul;Cristal;Apple MacBook Pro;Apple ;4;1700;0;6800
102;08.01.2019;Paul;Star market;Dell Vostro 15;Dell ;5;725;0;3625
103;07.02.2019;Linda;Star market;Acer Swift 3;Acer ;4;500;0;2000
104;29.10.2019;Olga;Star market;Dell Inspiron;Dell ;2;700;21;1358
105;14.03.2019;Paul;Jam;Lenovo IdeaPad S145;Lenovo ;3;400;0;1200
106;13.12.2019;Anna;Cristal;Dell Vostro 15;Dell ;3;725;21,75;2109,75
107;28.11.2019;Andrey;Star market;Asus X543MA;Asus ;1;880;0;880
108;31.01.2019;Olga;Star market;Dell Inspiron;Dell ;5;700;0;3500
109;09.01.2019;Andrey;Cristal;Dell Vostro 15;Dell ;4;725;0;2900
110;09.06.2019;John;Star market;Dell Vostro 15;Dell ;4;725;21,75;2813
111;16.04.2019;Andrey;Star market;Lenovo IdeaPad L340;Lenovo ;1;380;0;380
112;05.11.2019;John;Star market;Asus X407MA-BV;Asus ;5;850;0;4250
113;12.01.2019;Robert;Cristal;Lenovo IdeaPad S145;Lenovo ;2;400;0;800
114;30.10.2019;Paul;Star market;Acer Swift 3;Acer ;2;500;0;1000
115;07.06.2019;John;Jam;Lenovo IdeaPad L340;Lenovo ;2;380;0;760
116;07.01.2019;Linda;Star market;HP Pavilion Gaming 15;HP ;2;550;55;990
117;04.04.2019;John;Jam;Prestigio SmartBook 141;Prestigio ;4;475;47,5;1710
118;23.10.2019;Andrey;Star market;Lenovo IdeaPad S145;Lenovo ;5;400;0;2000
119;22.01.2019;Olga;Cristal;Apple MacBook Pro;Apple ;4;1700;0;6800
120;06.09.2019;Anna;Cristal;Acer Swift 3;Acer ;3;500;0;1500
121;05.07.2019;Andrey;Jam;Acer Swift 3;Acer ;2;500;0;1000
122;29.06.2019;Robert;Star market;Lenovo IdeaPad L340;Lenovo ;5;380;0;1900
123;08.05.2019;Olga;Star market;Lenovo Y740;Lenovo ;5;500;50;2250
124;31.05.2019;Paul;Jam;Lenovo IdeaPad L340;Lenovo ;2;380;0;760
125;18.05.2019;Linda;Cristal;Apple MacBook Pro;Apple ;4;1700;0;6800
126;15.01.2019;Andrey;Star market;Dell Inspiron;Dell ;2;700;0;1400
127;12.02.2019;Robert;Star market;Acer Swift 3;Acer ;3;500;0;1500
128;31.07.2019;Andrey;Jam;HP Pavilion Gaming 15;HP ;2;550;0;1100
129;08.05.2019;Paul;Star market;Prestigio SmartBook 141;Prestigio ;5;475;0;2375
130;07.02.2019;Andrey;Jam;Prestigio SmartBook 141;Prestigio ;3;475;47,5;1282,5
131;29.09.2019;Paul;Star market;Asus X407MA-BV;Asus ;5;850;34;4080
132;23.01.2019;Paul;Cristal;Asus X543MA;Asus ;4;880;0;3520
133;17.12.2019;Anna;Jam;Prestigio SmartBook 141;Prestigio ;3;475;0;1425
134;22.03.2019;John;Star market;Dell Vostro 15;Dell ;3;725;0;2175
135;21.01.2019;Olga;Star market;Lenovo IdeaPad L340;Lenovo ;3;380;0;1140
136;11.09.2019;Robert;Jam;Acer Aspire 5;Acer ;1;550;0;550
137;12.06.2019;Robert;Cristal;Asus X407MA-BV;Asus ;5;850;34;4080
138;24.09.2019;Andrey;Jam;Lenovo IdeaPad S145;Lenovo ;2;400;0;800
139;21.01.2019;Paul;Cristal;Acer Swift 3;Acer ;4;500;0;2000
140;04.07.2019;Anna;Jam;Dell Inspiron;Dell ;5;700;0;3500
141;01.02.2019;Paul;Star market;Asus X407MA-BV;Asus ;4;850;0;3400
142;19.03.2019;Paul;Cristal;Asus X543MA;Asus ;4;880;0;3520
143;15.02.2019;Olga;Jam;Prestigio SmartBook 141;Prestigio ;2;475;47,5;855
144;13.11.2019;Anna;Jam;MSI GF75 Thin;MSI ;2;600;0;1200
145;24.03.2019;John;Jam;MSI GF75 Thin;MSI ;5;600;0;3000
146;27.04.2019;Olga;Cristal;Asus X543MA;Asus ;3;880;0;2640
147;21.01.2019;Anna;Star market;Asus X407MA-BV;Asus ;4;850;0;3400
148;03.07.2019;John;Star market;Lenovo Y740;Lenovo ;1;500;0;500
149;29.11.2019;Andrey;Cristal;Dell Inspiron;Dell ;1;700;0;700
150;30.05.2019;Linda;Star market;HP Pavilion Gaming 15;HP ;2;550;0;1100
151;14.10.2019;Andrey;Jam;HP Pavilion Gaming 15;HP ;1;550;0;550
152;07.07.2019;Olga;Jam;Asus X407MA-BV;Asus ;3;850;0;2550
153;08.05.2019;Olga;Star market;HP 250 G7;HP ;2;520;0;1040
154;15.12.2019;Linda;Cristal;Lenovo Y740;Lenovo ;5;500;0;2500
155;21.01.2019;John;Jam;Prestigio SmartBook 141;Prestigio ;2;475;0;950
156;14.03.2019;Robert;Star market;HP 250 G7;HP ;5;520;0;2600
157;10.11.2019;John;Star market;MSI Modern 14;MSI ;2;600;0;1200
158;27.09.2019;Anna;Jam;Prestigio SmartBook 141;Prestigio ;4;475;0;1900
159;23.09.2019;John;Cristal;Acer Aspire 5;Acer ;4;550;0;2200
160;31.01.2019;John;Cristal;HP 250 G7;HP ;5;520;0;2600
161;21.08.2019;Linda;Jam;Lenovo Y740;Lenovo ;2;500;0;1000
162;10.11.2019;Paul;Star market;MSI Modern 14;MSI ;4;600;0;2400
163;02.04.2019;Linda;Star market;MSI Modern 14;MSI ;3;600;0;1800
164;06.07.2019;Linda;Star market;Acer Swift 3;Acer ;1;500;0;500
165;31.03.2019;Andrey;Star market;Acer Aspire 5;Acer ;2;550;0;1100
166;07.01.2019;Linda;Star market;Asus X407MA-BV;Asus ;3;850;0;2550
167;26.07.2019;Linda;Jam;Dell Inspiron;Dell ;3;700;0;2100
168;03.06.2019;Anna;Star market;Apple MacBook Pro;Apple ;2;1700;0;3400
169;10.11.2019;John;Jam;Acer Aspire 5;Acer ;4;550;0;2200
170;05.08.2019;Paul;Cristal;MSI GF75 Thin;MSI ;5;600;0;3000
171;16.06.2019;John;Jam;MSI Modern 14;MSI ;3;600;0;1800
172;01.12.2019;Olga;Jam;Acer Swift 3;Acer ;3;500;25;1425
173;19.03.2019;Paul;Cristal;MSI Modern 14;MSI ;1;600;30;570
174;30.04.2019;Anna;Star market;HP 250 G7;HP ;4;520;52;1872
175;28.07.2019;John;Cristal;Asus X543MA;Asus ;1;880;0;880
176;24.06.2019;Linda;Star market;Lenovo IdeaPad L340;Lenovo ;4;380;19;1444
177;06.04.2019;Olga;Star market;HP Pavilion Gaming 15;HP ;1;550;0;550
178;23.11.2019;Linda;Jam;Prestigio SmartBook 141;Prestigio ;5;475;47,5;2137,5
179;10.11.2019;John;Cristal;HP 250 G7;HP ;3;520;0;1560
180;24.10.2019;Linda;Cristal;Acer Swift 3;Acer ;3;500;0;1500
181;30.09.2019;Anna;Jam;Lenovo Y740;Lenovo ;3;500;0;1500
182;14.08.2019;Anna;Jam;Lenovo Y740;Lenovo ;5;500;0;2500
183;02.05.2019;Anna;Star market;Dell Vostro 15;Dell ;4;725;0;2900
184;14.10.2019;Andrey;Star market;Acer Aspire 5;Acer ;2;550;27,5;1045
185;10.12.2019;Olga;Cristal;Dell Vostro 15;Dell ;5;725;21,75;3516,25
186;14.07.2019;Linda;Cristal;Acer Aspire 5;Acer ;2;550;0;1100
187;06.04.2019;Robert;Cristal;MSI Modern 14;MSI ;4;600;30;2280
188;18.04.2019;John;Cristal;Asus X543MA;Asus ;5;880;0;4400
189;16.12.2019;Andrey;Star market;MSI Modern 14;MSI ;2;600;0;1200
190;13.12.2019;Andrey;Jam;Asus X543MA;Asus ;4;880;0;3520
191;14.11.2019;Robert;Cristal;Dell Inspiron;Dell ;2;700;0;1400
192;15.09.2019;John;Star market;Acer Swift 3;Acer ;1;500;0;500
193;08.11.2019;Robert;Star market;Lenovo Y740;Lenovo ;1;500;0;500
194;16.08.2019;Robert;Star market;Asus X543MA;Asus ;5;880;0;4400
195;10.07.2019;Andrey;Star market;Apple MacBook Pro;Apple ;1;1700;0;1700
196;07.11.2019;Paul;Jam;Dell Vostro 15;Dell ;1;725;0;725
197;03.08.2019;Olga;Jam;Lenovo Y740;Lenovo ;2;500;0;1000
198;29.07.2019;Paul;Cristal;Acer Swift 3;Acer ;3;500;25;1425
199;05.06.2019;Andrey;Star market;MSI Modern 14;MSI ;5;600;0;3000
200;24.05.2019;Paul;Jam;HP Pavilion Gaming 15;HP ;1;550;0;550
201;19.03.2019;Paul;Jam;Asus X543MA;Asus ;1;880;0;880
202;19.05.2019;John;Jam;HP Pavilion Gaming 15;HP ;5;550;0;2750
203;03.12.2019;Linda;Star market;MSI GF75 Thin;MSI ;3;600;0;1800
204;13.03.2019;Anna;Jam;Dell Inspiron;Dell ;2;700;0;1400
205;08.08.2019;Olga;Cristal;MSI Modern 14;MSI ;5;600;0;3000
206;27.02.2019;Olga;Jam;Acer Swift 3;Acer ;2;500;0;1000
207;01.07.2019;Olga;Jam;Acer Swift 3;Acer ;1;500;25;475
208;18.06.2019;John;Cristal;HP Pavilion Gaming 15;HP ;3;550;0;1650
209;06.01.2019;Anna;Cristal;Acer Aspire 5;Acer ;3;550;0;1650
210;16.07.2019;Linda;Star market;Lenovo Y740;Lenovo ;3;500;0;1500
211;18.12.2019;John;Star market;Asus X407MA-BV;Asus ;4;850;34;3264
212;31.01.2019;Olga;Star market;Acer Aspire 5;Acer ;4;550;0;2200
213;09.03.2019;John;Cristal;Acer Aspire 5;Acer ;4;550;27,5;2090
214;10.02.2019;Andrey;Star market;Dell Vostro 15;Dell ;1;725;0;725
215;22.03.2019;Robert;Jam;MSI GF75 Thin;MSI ;5;600;0;3000
216;23.12.2019;John;Jam;MSI Modern 14;MSI ;1;600;0;600
217;29.04.2019;Paul;Star market;Apple MacBook Pro;Apple ;1;1700;0;1700
218;04.03.2019;Paul;Cristal;Apple MacBook Pro;Apple ;3;1700;0;5100
219;28.02.2019;John;Star market;HP 250 G7;HP ;3;520;0;1560
220;10.12.2019;Robert;Jam;Dell Vostro 15;Dell ;5;725;21,75;3516,25
221;28.03.2019;Linda;Star market;HP Pavilion Gaming 15;HP ;2;550;0;1100
222;24.11.2019;Paul;Star market;Acer Aspire 5;Acer ;3;550;0;1650
223;15.04.2019;Olga;Cristal;Dell Vostro 15;Dell ;4;725;0;2900
224;22.01.2019;Andrey;Cristal;Lenovo IdeaPad L340;Lenovo ;5;380;0;1900
225;05.10.2019;John;Star market;HP Pavilion Gaming 15;HP ;5;550;0;2750
226;08.10.2019;Andrey;Star market;MSI Modern 14;MSI ;1;600;0;600
227;25.06.2019;John;Jam;Asus X407MA-BV;Asus ;3;850;0;2550
228;09.08.2019;Robert;Jam;Lenovo IdeaPad L340;Lenovo ;2;380;0;760
229;01.07.2019;John;Cristal;Asus X407MA-BV;Asus ;2;850;0;1700
230;01.06.2019;Anna;Cristal;MSI GF75 Thin;MSI ;3;600;30;1710
231;23.11.2019;Robert;Jam;MSI Modern 14;MSI ;5;600;0;3000
232;15.12.2019;Paul;Cristal;MSI Modern 14;MSI ;2;600;0;1200
233;29.11.2019;Linda;Star market;Lenovo IdeaPad S145;Lenovo ;4;400;0;1600
234;22.11.2019;Andrey;Cristal;HP Pavilion Gaming 15;HP ;3;550;55;1485
235;14.01.2019;John;Jam;Dell Inspiron;Dell ;3;700;0;2100
236;30.09.2019;Paul;Jam;Acer Swift 3;Acer ;4;500;0;2000
237;11.01.2019;Olga;Star market;Dell Vostro 15;Dell ;2;725;0;1450
238;03.03.2019;Linda;Star market;MSI Modern 14;MSI ;4;600;0;2400
239;15.09.2019;Linda;Cristal;Acer Aspire 5;Acer ;4;550;0;2200
240;24.03.2019;Olga;Cristal;MSI GF75 Thin;MSI ;1;600;0;600
241;19.05.2019;Olga;Cristal;MSI Modern 14;MSI ;1;600;0;600
242;19.05.2019;Paul;Cristal;Apple MacBook Pro;Apple ;1;1700;0;1700
243;13.08.2019;Paul;Star market;Acer Swift 3;Acer ;5;500;0;2500
244;18.11.2019;Linda;Cristal;Dell Vostro 15;Dell ;1;725;0;725
245;19.01.2019;John;Jam;Asus X407MA-BV;Asus ;2;850;0;1700
246;08.08.2019;Paul;Star market;Lenovo IdeaPad L340;Lenovo ;4;380;0;1520
247;06.03.2019;Paul;Cristal;Lenovo IdeaPad S145;Lenovo ;1;400;0;400
248;15.08.2019;Paul;Star market;Dell Inspiron;Dell ;4;700;0;2800
249;06.07.2019;Robert;Cristal;Asus X407MA-BV;Asus ;3;850;0;2550
250;18.07.2019;Anna;Cristal;Apple MacBook Pro;Apple ;2;1700;0;3400
251;06.09.2019;Anna;Jam;MSI GF75 Thin;MSI ;5;600;0;3000
252;24.10.2019;Linda;Jam;Asus X543MA;Asus ;1;880;0;880
253;05.06.2019;Paul;Cristal;Dell Inspiron;Dell ;4;700;0;2800
254;30.08.2019;Linda;Jam;Acer Swift 3;Acer ;3;500;25;1425
255;13.10.2019;Paul;Jam;Asus X543MA;Asus ;1;880;0;880
256;16.09.2019;Anna;Star market;Dell Inspiron;Dell ;5;700;21;3395
257;23.12.2019;Olga;Star market;MSI GF75 Thin;MSI ;3;600;30;1710
258;29.10.2019;Olga;Cristal;MSI Modern 14;MSI ;2;600;0;1200
259;10.11.2019;Olga;Star market;Dell Inspiron;Dell ;4;700;0;2800
260;20.10.2019;Paul;Jam;Dell Vostro 15;Dell ;2;725;0;1450
261;29.09.2019;John;Jam;Acer Swift 3;Acer ;5;500;0;2500
262;09.04.2019;Paul;Cristal;MSI Modern 14;MSI ;4;600;0;2400
263;01.07.2019;John;Jam;MSI Modern 14;MSI ;4;600;30;2280
264;03.02.2019;Robert;Star market;Prestigio SmartBook 141;Prestigio ;4;475;0;1900
265;02.11.2019;John;Jam;MSI GF75 Thin;MSI ;2;600;30;1140
266;18.02.2019;John;Star market;Lenovo IdeaPad L340;Lenovo ;5;380;0;1900
267;09.07.2019;Paul;Star market;Lenovo IdeaPad L340;Lenovo ;2;380;0;760
268;15.05.2019;Anna;Jam;Asus X407MA-BV;Asus ;2;850;0;1700
269;21.07.2019;Andrey;Jam;MSI Modern 14;MSI ;1;600;0;600
270;18.08.2019;Anna;Star market;HP Pavilion Gaming 15;HP ;4;550;0;2200
271;08.07.2019;Robert;Cristal;MSI Modern 14;MSI ;3;600;0;1800
272;10.06.2019;Andrey;Cristal;MSI GF75 Thin;MSI ;4;600;30;2280
273;26.07.2019;Andrey;Jam;Dell Vostro 15;Dell ;2;725;0;1450
274;07.04.2019;Andrey;Star market;Dell Inspiron;Dell ;5;700;0;3500
275;12.12.2019;Anna;Jam;HP 250 G7;HP ;5;520;0;2600
276;16.07.2019;John;Jam;Dell Vostro 15;Dell ;4;725;21,75;2813
277;27.07.2019;Paul;Cristal;HP 250 G7;HP ;2;520;52;936
278;20.05.2019;Anna;Cristal;Prestigio SmartBook 141;Prestigio ;5;475;0;2375
279;26.08.2019;Olga;Cristal;Dell Vostro 15;Dell ;5;725;0;3625
280;05.11.2019;Paul;Cristal;HP 250 G7;HP ;2;520;0;1040
281;02.03.2019;John;Cristal;HP 250 G7;HP ;2;520;0;1040
282;23.07.2019;Olga;Jam;Asus X407MA-BV;Asus ;5;850;0;4250
283;07.04.2019;Andrey;Star market;Apple MacBook Pro;Apple ;2;1700;0;3400
284;26.03.2019;Paul;Jam;Lenovo Y740;Lenovo ;2;500;0;1000
285;08.11.2019;Linda;Jam;MSI GF75 Thin;MSI ;4;600;0;2400
286;02.11.2019;Linda;Cristal;MSI GF75 Thin;MSI ;2;600;0;1200
287;17.02.2019;Anna;Star market;Dell Vostro 15;Dell ;1;725;0;725
288;03.01.2019;Andrey;Cristal;Apple MacBook Pro;Apple ;2;1700;17;3366
289;12.04.2019;Robert;Cristal;Asus X407MA-BV;Asus ;2;850;0;1700
290;04.03.2019;John;Star market;Acer Aspire 5;Acer ;3;550;0;1650
291;30.12.2019;Andrey;Star market;Acer Swift 3;Acer ;1;500;0;500
292;14.02.2019;Paul;Star market;Apple MacBook Pro;Apple ;5;1700;0;8500
293;30.03.2019;Andrey;Jam;HP 250 G7;HP ;3;520;0;1560
294;25.03.2019;Paul;Cristal;Lenovo IdeaPad L340;Lenovo ;4;380;19;1444
295;25.07.2019;Anna;Cristal;HP Pavilion Gaming 15;HP ;3;550;55;1485
296;23.04.2019;Olga;Star market;Acer Swift 3;Acer ;2;500;25;950
297;31.05.2019;Robert;Cristal;MSI GF75 Thin;MSI ;1;600;0;600
298;14.05.2019;Paul;Jam;HP 250 G7;HP ;5;520;0;2600
299;14.10.2019;Olga;Star market;Dell Inspiron;Dell ;5;700;0;3500
300;14.05.2019;Paul;Jam;Dell Inspiron;Dell ;2;700;0;1400
301;08.09.2019;John;Jam;Asus X543MA;Asus ;5;880;0;4400
302;19.03.2019;Andrey;Jam;Acer Swift 3;Acer ;2;500;0;1000
303;19.04.2019;Paul;Jam;Dell Inspiron;Dell ;3;700;0;2100
304;27.12.2019;Andrey;Star market;Acer Aspire 5;Acer ;1;550;0;550
305;07.09.2019;Robert;Star market;Dell Inspiron;Dell ;5;700;0;3500
306;02.10.2019;Paul;Star market;Apple MacBook Pro;Apple ;1;1700;17;1683
307;24.08.2019;Olga;Cristal;Apple MacBook Pro;Apple ;1;1700;0;1700
308;16.07.2019;Andrey;Cristal;Dell Vostro 15;Dell ;4;725;0;2900
309;19.08.2019;Robert;Jam;HP 250 G7;HP ;4;520;0;2080
310;13.04.2019;Linda;Cristal;Dell Vostro 15;Dell ;2;725;0;1450
311;11.05.2019;Robert;Cristal;Prestigio SmartBook 141;Prestigio ;3;475;0;1425
312;05.11.2019;John;Star market;Apple MacBook Pro;Apple ;5;1700;0;8500
313;07.12.2019;Andrey;Jam;Apple MacBook Pro;Apple ;1;1700;0;1700
314;16.03.2019;Paul;Jam;Asus X407MA-BV;Asus ;2;850;34;1632
315;02.02.2019;John;Star market;Acer Aspire 5;Acer ;4;550;0;2200
316;19.10.2019;Andrey;Cristal;Lenovo Y740;Lenovo ;2;500;0;1000
317;12.05.2019;Robert;Jam;HP Pavilion Gaming 15;HP ;2;550;0;1100
318;05.10.2019;Andrey;Jam;Lenovo IdeaPad L340;Lenovo ;5;380;0;1900
319;08.07.2019;Paul;Jam;Dell Vostro 15;Dell ;1;725;21,75;703,25
320;31.01.2019;Linda;Cristal;Asus X407MA-BV;Asus ;1;850;0;850
321;04.05.2019;Linda;Star market;Prestigio SmartBook 141;Prestigio ;2;475;0;950
322;12.05.2019;Robert;Star market;Dell Vostro 15;Dell ;2;725;0;1450
323;08.11.2019;Andrey;Cristal;Lenovo IdeaPad S145;Lenovo ;2;400;0;800
324;19.05.2019;Andrey;Jam;MSI GF75 Thin;MSI ;5;600;0;3000
325;16.03.2019;Anna;Cristal;Prestigio SmartBook 141;Prestigio ;5;475;0;2375
326;29.07.2019;Anna;Star market;Apple MacBook Pro;Apple ;5;1700;17;8415
327;25.04.2019;Robert;Cristal;Lenovo IdeaPad L340;Lenovo ;1;380;0;380
328;22.11.2019;Anna;Cristal;MSI GF75 Thin;MSI ;2;600;0;1200
329;04.06.2019;Paul;Jam;Dell Inspiron;Dell ;2;700;0;1400
330;29.06.2019;Robert;Cristal;Apple MacBook Pro;Apple ;5;1700;17;8415
331;27.04.2019;John;Jam;MSI Modern 14;MSI ;2;600;0;1200
